time,temp_in,temp_out,temp_target,temp_interval,fan,heat
1683822064,25.1875,23.375,None,None,0,0
1683822065,25.125,23.375,None,None,0,0
1683822066,25.1875,23.4375,None,None,0,0
1683822067,25.1875,23.375,None,None,0,0
1683822068,25.125,23.375,None,None,0,0
1683822069,25.1875,23.4375,None,None,0,0
1683822070,25.1875,23.5,None,None,0,0
1683822071,25.1875,23.4375,None,None,0,0
1683822072,25.1875,23.375,None,None,0,0
1683822073,25.1875,23.4375,None,None,0,0
1683822074,25.1875,23.375,None,None,0,0
1683822075,25.1875,23.375,None,None,0,0
1683822076,25.1875,23.375,None,None,0,0
1683822077,25.1875,23.375,None,None,0,0
1683822078,25.1875,23.375,None,None,0,0
1683822079,25.1875,23.375,None,None,0,0
1683822080,25.1875,23.375,None,None,0,0
1683822081,25.1875,23.375,None,None,0,0
1683822083,25.1875,23.375,25.4,0.0,0,0
1683822084,25.1875,23.375,25.4,0.0,0,0
1683822085,25.1875,23.375,25.4,0.0,0,7.841236
1683822086,25.1875,23.375,25.4,0.0,0,7.841236
1683822087,25.1875,23.375,25.4,0.0,0,7.692486
1683822088,25.1875,23.375,25.4,0.0,0,7.734986
1683822089,25.1875,23.375,25.4,0.0,0,7.734986
1683822090,25.1875,23.375,25.4,0.0,0,7.777486
1683822091,25.1875,23.375,25.4,0.0,0,7.777486
1683822092,25.1875,23.375,25.4,0.0,0,7.819986
1683822093,25.25,23.375,25.4,0.0,0,7.819986
1683822094,25.25,23.375,25.4,0.0,0,5.162486
1683822095,25.1875,23.375,25.4,0.0,0,5.162486
1683822096,25.25,23.375,25.4,0.0,0,8.454986
1683822097,25.1875,23.375,25.4,0.0,0,8.454986
1683822098,25.25,23.375,25.4,0.0,0,7.934986
1683822099,25.1875,23.375,25.4,0.0,0,7.934986
1683822100,25.1875,23.375,25.4,0.0,0,7.977486
1683822101,25.1875,23.375,25.4,0.0,0,7.977486
1683822102,25.1875,23.4375,25.4,0.0,0,8.019985
1683822103,25.25,23.375,25.4,0.0,0,8.019985
1683822104,25.1875,23.375,25.4,0.0,0,5.362485
1683822105,25.25,23.375,25.4,0.0,0,5.362485
1683822107,25.1875,23.375,25.4,0.0,0,5.954986
1683822108,25.1875,23.375,25.4,0.0,0,5.954986
1683822109,25.1875,23.375,25.4,0.0,0,8.684985
1683822110,25.25,23.375,25.4,0.0,0,8.684985
1683822111,25.25,23.375,25.4,0.0,0,5.464985
1683822112,25.1875,23.375,25.4,0.0,0,5.464985
1683822113,25.25,23.375,25.4,0.0,0,8.757485
1683822114,25.1875,23.375,25.4,0.0,0,8.757485
1683822115,25.25,23.375,25.4,0.0,0,8.224987
1683822116,25.1875,23.375,25.4,0.0,0,8.224987
1683822117,25.1875,23.375,25.4,0.0,0,8.224987
1683822118,25.1875,23.375,25.4,0.0,0,8.224987
1683822119,25.25,23.375,25.4,0.0,0,8.224987
1683822120,25.1875,23.375,25.4,0.0,0,5.537487
1683822121,25.1875,23.375,25.4,0.0,0,5.537487
1683822122,25.1875,23.375,25.4,0.0,0,8.787487
